Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Usman Garuba;970.2;225;24;307;64;47;44;29
Darius Bazley;616.2;224;20;138;38;27;22;34
Miles McBride;760.2;222;40;50;72;25;37;8
Svi Mykhailiuk;467.9;222;42;53;53;24;15;4
Maxi Kleber;929.8;220;39;135;52;27;12;30
Jabari Walker;619.2;216;16;131;34;29;10;13
Lindy Waters III;530.8;214;58;75;28;10;14;11
Ziaire Williams;560.8;210;25;79;35;37;14;6
Davis Bertans;491.8;206;55;53;21;10;11;8
Dean Wade;891.6;206;45;150;37;17;28;21
Justin Holiday;706.1;205;46;55;41;22;19;19
Charles Bassey;507.9;199;3;193;48;41;16;33
DeAndre Jordan;585.9;199;1;202;34;48;12;23
Dewayne Dedmon;426.2;199;12;134;26;25;9;19
Justise Winslow;775.8;196;14;145;98;43;30;11
Anthony Gill;624.6;195;4;99;34;15;7;12
Caleb Houstan;812.2;193;46;99;30;18;12;7
Ousmane Dieng;568.7;193;26;105;46;26;14;7
James Bouknight;515.5;191;33;72;41;32;14;5
Keon Johnson;416.4;189;28;44;59;43;19;6
JaVale McGee;354.5;186;2;107;11;36;4;26
Blake Wesley;669.1;184;20;82;98;65;25;5
Rodney McGruder;523.9;183;41;74;28;11;16;1
Christian Koloko;801.8;182;1;171;31;20;21;57
Luka Garza;243.4;181;14;63;18;14;3;2
Wesley Matthews;820.4;179;39;113;34;18;20;13
Jericho Sims;812.4;178;0;242;25;27;15;28
Stanley Johnson;469.5;174;18;95;67;33;16;6
Amir Coffey;625.3;172;11;53;53;21;7;5
Isaiah Roby;473.6;172;18;108;38;31;18;7
Ricky Rubio;566;171;21;70;115;31;26;6
Blake Griffin;568.9;170;23;155;61;22;14;9
Taj Gibson;480.4;168;8;93;34;26;15;12
Goga Bitadze;456.8;167;6;137;39;22;16;26
Evan Fournier;458.7;165;35;49;36;22;16;3
Javonte Green;480.3;165;13;88;23;20;24;21
Julian Champagnie;320.1;165;33;60;10;11;6;5
Johnny Davis;422.6;163;17;65;28;17;10;8
Jordan McLaughlin;678.5;161;24;62;148;33;32;4
Kai Jones;549.6;157;4;123;15;31;17;30
Raul Neto;505.2;157;12;46;79;24;17;4
Admiral Schofield;451.3;155;24;62;31;16;8;5
Juan Toscano-Anderson;700.1;155;8;124;65;34;16;10
Moses Brown;294.1;155;0;139;4;15;4;14
AJ Green;344.9;154;44;45;22;9;6;0
Bruno Fernando;405.1;153;0;137;31;25;6;34
Derrick Rose;337.9;152;19;40;46;22;7;5
Saben Lee;373.5;151;11;45;67;24;19;1
TyTy Washington Jr.;432.7;145;19;45;47;14;15;2
Brandon Boston Jr.;248.3;143;12;30;20;12;9;0
Dalano Banton;278.5;142;15;45;36;18;13;13
Damian Jones;477.4;142;10;122;15;23;8;21
Kevon Harris;457;141;16;70;16;21;17;5
Furkan Korkmaz;353.5;140;18;42;22;24;10;3
Nathan Knight;290.7;139;8;56;13;21;10;6
Frank Ntilikina;607.6;135;17;62;58;29;16;7
Markieff Morris;355.1;132;28;71;31;18;9;5
Richaun Holmes;347.6;130;5;80;9;14;3;11
Chuma Okeke;518;128;26;96;37;17;19;11
Max Christie;512.4;128;26;75;21;13;9;7
Udoka Azubuike;358.5;125;0;119;11;18;6;15
Jae Crowder;339.7;124;24;69;27;7;12;6
Juancho Hernangomez;613.5;122;17;123;25;15;16;6
Matt Ryan;310.2;122;32;26;16;7;5;1
Patrick Baldwin Jr.;225.8;122;32;40;11;11;6;4
Gorgui Dieng;358.1;121;21;107;53;32;4;14
Kenneth Lofton Jr.;176;120;6;51;20;12;5;2
Orlando Robinson;425.1;116;0;126;25;16;12;12
Kira Lewis Jr.;234.8;114;15;33;23;10;10;2
McKinley Wright IV;335;114;9;47;58;19;8;5
Robin Lopez;298.5;112;2;51;19;25;2;8
Dominick Barlow;407.6;110;0;102;24;15;10;19
Ish Smith;397.9;108;2;54;100;44;8;7
Jake LaRavia;414.3;105;24;63;21;18;12;4
Boban Marjanovic;171.1;102;0;60;9;14;5;2
Gary Payton II;367.6;101;13;69;30;16;22;5
Kessler Edwards;385.8;100;17;61;23;13;14;6
Cody Zeller;216.6;98;0;64;10;14;3;4
Jamal Cain;240;98;7;52;12;6;11;1
Theo Pinson;323;95;22;63;46;12;6;1
Skylar Mays;188.8;92;12;19;50;10;6;1
Bryn Forbes;267.7;89;14;15;17;12;7;2
Davon Reed;342.5;89;17;59;23;20;15;4
Frank Kaminsky;234.9;89;13;52;32;9;6;4
Terry Taylor;263.4;89;5;47;10;9;3;6
